step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_1828212480_99165374_stopped,GS_cluster_1828212480_99165374_accumulated_waiting_time,GS_cluster_1828212480_99165374_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.032094537100091,0,0.0,0.5292760512026328,0,0.0
10.0,1,2.0,1.0,4.502424069619643,1,2.0,0.26869158630395246,1,2.0
15.0,2,9.0,3.0,4.97476513162172,2,9.0,8.708336762215896e-05,2,9.0
20.0,2,19.0,4.75,7.713023559230283,2,19.0,0.3217997762321118,2,19.0
25.0,0,0.0,0.0,11.828009872982724,0,0.0,0.952340049518036,0,0.0
30.0,0,0.0,0.0,14.413181645544302,0,0.0,0.8936474207284202,0,0.0
35.0,0,0.0,0.0,10.995813986400957,0,0.0,0.10715059816754591,0,0.0
40.0,1,5.0,0.625,7.555965071749279,1,5.0,0.0973742262997208,1,5.0
45.0,3,19.0,2.7142857142857144,8.090370503818543,3,19.0,2.8949520368536828e-05,3,19.0
50.0,3,34.0,5.666666666666667,7.357310290564314,3,34.0,0.23402231287947242,3,34.0
55.0,1,20.0,4.0,6.297646882142243,1,32.0,0.39289481022942313,1,32.0
60.0,2,29.0,5.8,8.227545279565303,2,29.0,0.32968256333785156,2,29.0
65.0,1,30.0,5.0,11.270774821435998,1,30.0,0.0,1,30.0
70.0,1,35.0,5.833333333333333,13.02053604160964,1,35.0,0.3581910148182695,1,35.0
75.0,2,42.0,8.4,10.432235723066785,2,42.0,0.33178416790547804,2,42.0
80.0,0,0.0,0.0,8.085172532953681,0,0.0,0.5135715402673484,0,0.0
85.0,1,4.0,0.5714285714285714,11.132106848587778,1,4.0,0.3363323601193117,1,4.0
90.0,1,1.0,0.16666666666666666,7.70881343561112,1,4.0,0.07036558203986353,1,4.0
95.0,1,6.0,1.0,11.10150613276842,1,6.0,0.0,1,6.0
100.0,0,0.0,0.0,10.11828574074799,0,0.0,0.9284858100183422,0,0.0
105.0,0,0.0,0.0,13.429301146130497,0,0.0,0.7754225332542886,0,0.0
110.0,1,1.0,0.3333333333333333,8.432138921902537,1,1.0,0.0004369596518677199,1,1.0
115.0,1,6.0,1.5,11.307882657492993,1,6.0,0.0,1,6.0
120.0,1,11.0,2.75,9.055793981364898,1,5.0,0.0,1,5.0
125.0,1,16.0,4.0,11.278966094946096,1,5.0,0.330601581030877,1,5.0
130.0,1,21.0,4.2,12.982710195229757,1,10.0,0.6789016776766483,1,10.0
135.0,2,29.0,5.8,7.215074155046838,2,18.0,0.3499696908806487,2,18.0
140.0,2,35.0,5.833333333333333,9.58461744276701,2,24.0,0.4741770060358418,2,24.0
145.0,2,45.0,6.428571428571429,8.75739581961148,2,34.0,0.22244507370804006,2,34.0
150.0,4,61.0,8.714285714285714,7.629764636480695,4,50.0,0.1970537894108886,4,50.0
