step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2888269153_95968367_stopped,cluster_2888269153_95968367_accumulated_waiting_time,cluster_2888269153_95968367_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,8.416417718845203,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.173071861782983,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.204624169941097,0,0.0,0.016368631155946015,0,0.0
20.0,1,5.0,0.4166666666666667,11.547969145504444,1,5.0,0.5920840647255438,1,5.0
25.0,2,12.0,0.8,9.530685122052928,1,10.0,0.0,1,10.0
30.0,1,15.0,0.8823529411764706,11.71768576388547,1,15.0,0.2927494600716408,1,15.0
35.0,2,21.0,1.105263157894737,10.433699403474039,2,21.0,0.2798135649869152,2,21.0
40.0,3,33.0,1.5714285714285714,7.52408096938747,2,31.0,0.12601391779054333,2,31.0
45.0,4,48.0,2.0,9.127807167168383,4,48.0,0.2390008788905755,4,48.0
50.0,7,76.0,3.1666666666666665,8.29569404960769,7,81.0,0.24339527606095637,7,81.0
55.0,9,117.0,4.333333333333333,7.751435766618077,9,117.0,0.0015622517298798009,9,117.0
60.0,9,162.0,6.48,7.09242999825933,9,160.0,0.16234096860360742,9,160.0
65.0,6,146.0,5.407407407407407,7.6651651384123545,6,146.0,0.09169843496348173,6,146.0
70.0,9,180.0,6.428571428571429,7.672713630271736,7,178.0,0.08678545996249121,7,178.0
75.0,10,222.0,7.161290322580645,7.643447276636793,8,215.0,0.19605032757512483,8,215.0
80.0,6,96.0,2.909090909090909,8.453131016479336,4,116.0,0.3454723048901957,4,116.0
85.0,3,16.0,0.47058823529411764,9.388309465106664,3,84.0,0.2153138114126284,3,84.0
90.0,7,27.0,0.8181818181818182,8.326841250570371,7,123.0,0.2604146459883885,7,123.0
95.0,11,74.0,2.1142857142857143,7.391029853214561,11,170.0,0.1377228197195214,11,170.0
100.0,16,140.0,3.6842105263157894,6.647819212819142,16,236.0,0.01253692396664677,16,236.0
105.0,12,165.0,4.230769230769231,6.451872554267062,12,244.0,0.10634771846503197,12,244.0
110.0,10,183.0,4.945945945945946,7.010767563220239,10,216.0,0.1602456144388209,10,216.0
115.0,11,223.0,5.868421052631579,8.119452012323132,11,235.0,0.08115132126370851,11,235.0
120.0,15,289.0,8.027777777777779,6.398259564948765,13,287.0,0.07857388597632294,13,287.0
125.0,16,360.0,9.23076923076923,5.937130070460319,14,356.0,0.014994542035260496,14,356.0
130.0,14,414.0,9.857142857142858,6.888002594813081,14,423.0,0.15260057178039652,14,423.0
135.0,15,486.0,11.853658536585366,7.1887744549149115,15,500.0,0.1321969188483503,15,500.0
140.0,13,352.0,8.8,6.418644112394,13,488.0,0.13463840190468174,13,488.0
145.0,12,377.0,8.976190476190476,7.279694520563639,12,429.0,0.14598353154928412,12,429.0
150.0,14,426.0,10.923076923076923,5.960062624131058,14,478.0,0.028344404254276572,14,478.0
155.0,16,504.0,13.263157894736842,7.041784530530343,16,556.0,0.12423376217494882,16,556.0
160.0,17,586.0,13.952380952380953,7.506546723221639,17,638.0,0.12471006766894122,17,638.0
165.0,22,684.0,15.906976744186046,5.265479959013296,21,734.0,0.05744873115329669,21,734.0
170.0,25,803.0,18.25,4.576409361436105,23,843.0,0.004812773086307127,23,843.0
175.0,28,928.0,20.17391304347826,3.5492753397912113,25,967.0,0.033537265809675136,25,967.0
180.0,27,1044.0,22.21276595744681,4.078550585345978,27,1096.0,0.005354572813521027,27,1096.0
185.0,30,1189.0,26.42222222222222,4.239540354822509,29,1240.0,0.030636751273436492,29,1240.0
190.0,31,1340.0,27.346938775510203,4.442666440851449,30,1396.0,0.08772493509995946,30,1396.0
195.0,34,1502.0,29.45098039215686,2.8649662878963738,33,1556.0,0.021302640565727917,33,1556.0
200.0,32,1416.0,26.22222222222222,3.4897259474752187,32,1600.0,0.0605737525450446,32,1600.0
205.0,32,1549.0,27.17543859649123,4.004367062065392,32,1596.0,0.03998086982001326,32,1596.0
210.0,35,1721.0,29.67241379310345,4.403136726270395,35,1744.0,0.031857545843639236,35,1744.0
215.0,28,1726.0,29.75862068965517,4.17668800729781,27,1789.0,0.024180007519237483,27,1789.0
220.0,29,1857.0,30.95,5.411699663730142,28,1889.0,0.06052239428400369,28,1889.0
225.0,32,2003.0,34.53448275862069,5.5102489607516665,31,2036.0,0.0008575491602936557,31,2036.0
230.0,34,2172.0,38.10526315789474,5.210111713737369,32,2196.0,0.07164314296040714,32,2196.0
235.0,35,2333.0,40.224137931034484,3.2460898044105555,33,2347.0,0.0008129880849154169,33,2347.0
240.0,39,2524.0,42.779661016949156,3.5841720198502287,36,2527.0,0.010256368253189789,36,2527.0
245.0,37,2673.0,45.30508474576271,4.105690098608887,37,2710.0,0.02123273249895471,37,2710.0
250.0,25,1003.0,17.0,4.191621788642443,24,2101.0,0.058247435276947646,24,2101.0
255.0,12,167.0,2.783333333333333,6.8450174255682565,10,1093.0,0.2079302902198164,10,1093.0
260.0,18,228.0,3.8,6.791086220412221,15,881.0,0.07178760207381316,15,881.0
265.0,30,351.0,5.661290322580645,6.052621232230403,25,985.0,0.04422972610129405,25,985.0
270.0,32,449.0,7.483333333333333,4.053371584066188,26,1082.0,0.02696179955818998,26,1082.0
275.0,31,567.0,9.14516129032258,4.927010073395002,26,1183.0,0.030420939546351142,26,1183.0
280.0,26,498.0,8.163934426229508,5.46165629805777,21,1176.0,0.06658813548959487,21,1176.0
285.0,21,451.0,7.775862068965517,5.080497364599503,19,1161.0,0.065523245732333,19,1161.0
290.0,22,506.0,8.87719298245614,5.627455217121979,21,1252.0,0.007375888581706907,21,1252.0
295.0,25,624.0,10.4,5.390667846502648,25,1373.0,0.0722949604827271,25,1373.0
300.0,25,720.0,12.413793103448276,5.95938677540964,22,1443.0,0.019903807056810933,22,1443.0
305.0,22,812.0,14.0,7.078917318679339,22,1501.0,0.11249142211853501,22,1501.0
310.0,12,215.0,3.6440677966101696,6.414721231338337,11,1055.0,0.1281483622109876,11,1055.0
315.0,9,76.0,1.3571428571428572,8.005043368444083,7,305.0,0.16346012995699988,7,305.0
320.0,15,80.0,1.4545454545454546,7.370539537538104,10,315.0,0.025276311734879545,10,315.0
325.0,18,164.0,2.8771929824561404,7.688973533599505,11,350.0,0.08598765373569096,11,350.0
330.0,23,267.0,4.8545454545454545,6.554483425400357,14,413.0,0.14579496437498585,14,413.0
335.0,17,269.0,4.719298245614035,6.0826386600585955,8,237.0,0.15655148174058514,8,237.0
340.0,20,367.0,7.0576923076923075,6.161947990244873,10,216.0,0.15953371824039694,10,216.0
345.0,21,362.0,6.581818181818182,6.798365650296029,13,280.0,0.08288027022301285,13,280.0
350.0,21,444.0,8.538461538461538,6.617843464209866,14,348.0,0.07441198371642704,14,348.0
355.0,13,233.0,4.480769230769231,6.013798473125062,3,250.0,0.23435820943474228,3,250.0
360.0,7,72.0,1.469387755102041,7.27825752814376,3,159.0,0.27525607722380807,3,159.0
365.0,9,94.0,1.9583333333333333,7.079666582167988,5,238.0,0.15057365103356335,5,238.0
370.0,14,67.0,1.3673469387755102,6.686228647210574,13,262.0,0.11473488007263354,13,262.0
375.0,14,127.0,2.8222222222222224,6.0491026687589295,12,330.0,0.022720300669667244,12,330.0
380.0,12,113.0,2.6904761904761907,5.966939007660879,9,294.0,0.061565526917253074,9,294.0
385.0,7,120.0,2.857142857142857,7.738235098949078,6,248.0,0.16072840548568482,6,248.0
390.0,10,161.0,3.744186046511628,8.001196449850905,9,245.0,0.07852826685386508,9,245.0
395.0,16,231.0,5.5,5.867587534484747,15,377.0,0.034089061018566,15,377.0
400.0,11,248.0,5.767441860465116,6.223756123386195,9,365.0,0.08977480696186295,9,365.0
405.0,10,265.0,5.888888888888889,7.583593065432778,7,276.0,0.14961864134783331,7,276.0
410.0,8,103.0,2.2888888888888888,7.818620612482271,8,184.0,0.16890048935079202,8,184.0
415.0,15,171.0,3.9767441860465116,7.712263722618524,10,190.0,0.1537266093398578,10,190.0
420.0,9,93.0,2.325,7.369751359145797,8,186.0,0.17447779786205087,8,186.0
425.0,9,131.0,3.5405405405405403,6.629912176475622,8,170.0,0.14418621034298953,8,170.0
430.0,10,166.0,4.742857142857143,7.114611682164078,10,203.0,0.12060278889527473,10,203.0
435.0,4,25.0,0.78125,9.51269209316149,4,128.0,0.26629340587247324,4,128.0
440.0,6,34.0,1.0,9.70059726408877,5,108.0,0.32708885215003486,5,108.0
445.0,11,78.0,2.2285714285714286,7.842092594814254,8,129.0,0.18332031846479857,8,129.0
450.0,17,149.0,4.027027027027027,7.333368173857598,11,169.0,0.02379745522573586,11,169.0
455.0,13,142.0,3.9444444444444446,6.334984107069734,5,147.0,0.1885707531683923,5,147.0
460.0,13,166.0,4.611111111111111,5.939878803774302,8,154.0,0.16299276195712825,8,154.0
465.0,13,204.0,5.666666666666667,6.523600779300268,8,194.0,0.03830128626209983,8,194.0
470.0,16,279.0,7.75,6.381552364545637,9,237.0,0.021562908875706922,9,237.0
475.0,10,252.0,7.411764705882353,6.852028615001722,9,277.0,0.00012334467283725355,9,277.0
480.0,9,272.0,8.242424242424242,8.902541145902948,9,322.0,0.1494526345237554,9,322.0
485.0,6,218.0,6.8125,9.030285574949797,6,269.0,0.279720487764314,6,269.0
490.0,6,248.0,7.75,9.429318154148348,6,345.0,0.24438563717368134,6,345.0
495.0,11,295.0,9.21875,7.778903269031316,10,388.0,0.1714659254775627,10,388.0
500.0,14,357.0,11.15625,6.103091920957533,13,470.0,0.04893985366152096,13,470.0
505.0,11,372.0,10.941176470588236,6.6215256586212305,9,491.0,0.15171809964745978,9,491.0
510.0,12,428.0,12.588235294117647,6.1625442658788785,9,510.0,0.1337779434895319,9,510.0
515.0,11,460.0,14.375,6.39115769882088,9,549.0,0.10033442385084655,9,549.0
520.0,13,525.0,15.441176470588236,6.267796114348871,11,604.0,0.07744914240545245,11,604.0
525.0,11,560.0,16.96969696969697,6.500170183388027,8,627.0,0.01580069659479424,8,627.0
530.0,8,551.0,17.21875,9.021013694439665,8,664.0,0.2574611471102984,8,664.0
535.0,7,303.0,9.181818181818182,8.15226391329482,5,600.0,0.23571345213880032,5,600.0
540.0,3,12.0,0.3870967741935484,8.808274554822157,2,292.0,0.227995084982497,2,292.0
545.0,4,26.0,0.896551724137931,8.649004623512546,3,305.0,0.2875211020863224,3,305.0
550.0,8,55.0,1.8333333333333333,7.567806408145199,6,326.0,0.1148372337055829,6,326.0
555.0,8,58.0,1.8125,7.488569281071052,6,261.0,0.07705612603542925,6,261.0
560.0,5,62.0,1.878787878787879,7.746038300011943,5,143.0,0.14281934605327806,5,143.0
565.0,6,23.0,0.6388888888888888,7.679433610943611,5,117.0,0.2189087112384331,5,117.0
570.0,7,53.0,1.5588235294117647,7.6053990942084395,6,133.0,0.15731112857363172,6,133.0
